Date,Time,Crime_Type,Latitude,Longitude,Address,District,Description,Status,Response_Time_Minutes
2024-02-23,16:47:22,Burglary,41.8935,-87.6756,4783 Broadway,Central,Reported burglary incident at 4783 Broadway.,Active,32
2024-02-24,00:23:49,Simple Assault,41.8844,-87.5923,3363 Maple Dr,Central,Reported simple assault incident at 3363 Maple Dr.,Closed,15
2024-02-24,03:50:30,Public Intoxication,41.9681,-87.5778,4932 Oak Ave,Suburban,Reported public intoxication incident at 4932 Oak Ave.,Under Investigation,14
2024-02-24,11:40:41,Violent Disorder,41.8969,-87.5763,561 Oak Ave,Central,Reported violent disorder incident at 561 Oak Ave.,Closed,23
2024-02-24,16:38:05,Traffic Violation,41.7959,-87.548,9849 Maple Dr,North,Reported traffic violation incident at 9849 Maple Dr.,Under Investigation,40
2024-02-24,17:00:36,Robbery,41.8543,-87.722,5580 Main St,East,Reported robbery incident at 5580 Main St.,Active,54
2024-02-24,18:03:09,Violent Disorder,41.7887,-87.5966,7868 Cedar St,North,Reported violent disorder incident at 7868 Cedar St.,Active,21
2024-02-24,21:36:09,Larceny,41.8819,-87.6137,3976 Maple Dr,North,Reported larceny incident at 3976 Maple Dr.,Cleared by Arrest,12
2024-02-24,22:18:29,Drug Possession,41.9166,-87.659,4557 Park Ln,Central,Reported drug possession incident at 4557 Park Ln.,Cleared by Arrest,52
2024-02-25,00:33:44,Motor Vehicle Theft,41.8942,-87.7257,7314 Oak Ave,East,Reported motor vehicle theft incident at 7314 Oak Ave.,Closed,34
2024-02-25,02:12:45,Narcotics Distribution,41.975,-87.572,6900 Elm St,South,Reported narcotics distribution incident at 6900 Elm St.,Closed,29
2024-02-25,05:36:23,Property Theft,41.944,-87.7285,3100 Oak Ave,Downtown,Reported property theft incident at 3100 Oak Ave.,Closed,25
2024-02-25,09:26:55,Homicide,41.8014,-87.5907,812 Main St,East,Reported homicide incident at 812 Main St.,Under Investigation,32
2024-02-25,16:56:22,Arson,41.8687,-87.589,2686 Oak Ave,Uptown,Reported arson incident at 2686 Oak Ave.,Closed,58
2024-02-25,19:48:19,Violent Disorder,41.8204,-87.7124,4402 Park Ln,Uptown,Reported violent disorder incident at 4402 Park Ln.,Active,37
2024-02-25,20:15:36,Motor Vehicle Theft,41.9345,-87.6486,4580 Elm St,West,Reported motor vehicle theft incident at 4580 Elm St.,Under Investigation,49
2024-02-25,23:24:03,Burglary,41.8448,-87.6734,8390 Broadway,East,Reported burglary incident at 8390 Broadway.,Active,27
2024-02-25,23:46:18,Violent Disorder,41.9737,-87.69,2526 Maple Dr,Suburban,Reported violent disorder incident at 2526 Maple Dr.,Cleared by Arrest,18
2024-02-25,23:47:46,Drug Trafficking,41.9458,-87.7129,9538 Elm St,Suburban,Reported drug trafficking incident at 9538 Elm St.,Active,16
2024-02-25,23:55:51,Simple Assault,41.8126,-87.6089,794 Broadway,East,Reported simple assault incident at 794 Broadway.,Closed,56
2024-02-26,05:08:35,Public Intoxication,41.7994,-87.6405,3456 Broadway,West,Reported public intoxication incident at 3456 Broadway.,Cleared by Arrest,16
2024-02-26,05:13:16,Property Theft,41.9542,-87.6474,8007 Elm St,Downtown,Reported property theft incident at 8007 Elm St.,Active,48
2024-02-26,05:50:00,Property Theft,41.911,-87.5562,2779 Cedar St,East,Reported property theft incident at 2779 Cedar St.,Cleared by Arrest,31
2024-02-26,06:39:43,Property Theft,41.8837,-87.5848,8297 Main St,Suburban,Reported property theft incident at 8297 Main St.,Active,7
2024-02-26,10:05:34,Arson,41.8537,-87.6513,7492 Maple Dr,Downtown,Reported arson incident at 7492 Maple Dr.,Active,47
2024-02-26,10:47:14,Narcotics Distribution,41.8539,-87.5328,5394 Park Ln,South,Reported narcotics distribution incident at 5394 Park Ln.,Active,21
2024-02-26,12:00:38,Drug Possession,41.941,-87.6203,5739 Main St,Suburban,Reported drug possession incident at 5739 Main St.,Cleared by Arrest,58
2024-02-26,13:59:17,Larceny,41.8117,-87.6425,9840 Broadway,Uptown,Reported larceny incident at 9840 Broadway.,Under Investigation,12
2024-02-26,15:54:01,Vandalism,41.8043,-87.6199,1097 Park Ln,Uptown,Reported vandalism incident at 1097 Park Ln.,Under Investigation,51
2024-02-27,06:19:18,Motor Vehicle Theft,41.9547,-87.6838,7831 Maple Dr,South,Reported motor vehicle theft incident at 7831 Maple Dr.,Under Investigation,31
2024-02-27,09:15:06,Property Theft,41.9615,-87.6417,6028 Washington Blvd,South,Reported property theft incident at 6028 Washington Blvd.,Active,29
2024-02-27,10:10:14,Traffic Violation,41.9143,-87.6355,2426 Broadway,East,Reported traffic violation incident at 2426 Broadway.,Under Investigation,57
2024-02-27,15:23:34,Simple Assault,41.9281,-87.7077,3583 Cedar St,Downtown,Reported simple assault incident at 3583 Cedar St.,Cleared by Arrest,29
2024-02-27,16:42:00,Traffic Violation,41.9084,-87.667,3279 Broadway,North,Reported traffic violation incident at 3279 Broadway.,Closed,24
2024-02-27,21:54:01,Public Intoxication,41.8101,-87.5582,3418 Broadway,Central,Reported public intoxication incident at 3418 Broadway.,Active,12
2024-02-28,00:26:33,Narcotics Distribution,41.9485,-87.6041,1841 Cedar St,Central,Reported narcotics distribution incident at 1841 Cedar St.,Cleared by Arrest,8
2024-02-28,01:55:32,Robbery,41.8286,-87.5477,6292 Main St,South,Reported robbery incident at 6292 Main St.,Active,6
2024-02-28,11:40:08,Vandalism,41.8937,-87.6742,6758 Maple Dr,South,Reported vandalism incident at 6758 Maple Dr.,Active,51
2024-02-28,12:51:16,Property Theft,41.8323,-87.7254,4556 Oak Ave,East,Reported property theft incident at 4556 Oak Ave.,Under Investigation,12
2024-02-28,14:48:51,Vandalism,41.9561,-87.6819,6338 Cedar St,North,Reported vandalism incident at 6338 Cedar St.,Active,10
2024-02-29,00:12:14,Fraud,41.7902,-87.5524,6038 Cedar St,Central,Reported fraud incident at 6038 Cedar St.,Active,50
2024-02-29,02:02:55,Drug Possession,41.89,-87.6383,113 Cedar St,Suburban,Reported drug possession incident at 113 Cedar St.,Closed,27
2024-02-29,05:40:53,Narcotics Distribution,41.9516,-87.6064,4609 Maple Dr,Central,Reported narcotics distribution incident at 4609 Maple Dr.,Under Investigation,25
2024-02-29,13:30:53,Disorderly Conduct,41.916,-87.7235,2125 Maple Dr,Downtown,Reported disorderly conduct incident at 2125 Maple Dr.,Active,40
2024-02-29,18:51:57,Violent Disorder,41.9119,-87.6213,1911 Oak Ave,North,Reported violent disorder incident at 1911 Oak Ave.,Cleared by Arrest,59
2024-03-01,02:48:53,Larceny,41.8649,-87.6161,1076 Washington Blvd,South,Reported larceny incident at 1076 Washington Blvd.,Under Investigation,5
2024-03-01,08:27:14,Drug Trafficking,41.8786,-87.6188,9489 Maple Dr,Uptown,Reported drug trafficking incident at 9489 Maple Dr.,Active,17
2024-03-01,18:01:25,Drug Trafficking,41.8651,-87.7262,5783 Park Ln,Uptown,Reported drug trafficking incident at 5783 Park Ln.,Active,32
2024-03-01,23:07:09,Larceny,41.8938,-87.5771,9848 Park Ln,Central,Reported larceny incident at 9848 Park Ln.,Cleared by Arrest,38
2024-03-02,02:04:10,Vandalism,41.9475,-87.6172,633 Cedar St,Downtown,Reported vandalism incident at 633 Cedar St.,Under Investigation,32
2024-03-02,02:04:29,Robbery,41.9437,-87.7149,2606 Park Ln,Downtown,Reported robbery incident at 2606 Park Ln.,Cleared by Arrest,43
2024-03-02,09:00:30,Motor Vehicle Theft,41.8605,-87.6311,1460 Oak Ave,South,Reported motor vehicle theft incident at 1460 Oak Ave.,Active,16
2024-03-02,17:41:16,Narcotics Distribution,41.9627,-87.5383,6917 Main St,Downtown,Reported narcotics distribution incident at 6917 Main St.,Closed,30
2024-03-03,02:12:37,Vandalism,41.8425,-87.6994,6594 Broadway,Downtown,Reported vandalism incident at 6594 Broadway.,Under Investigation,25
2024-03-03,03:36:37,Disorderly Conduct,41.8982,-87.5511,5085 Maple Dr,East,Reported disorderly conduct incident at 5085 Maple Dr.,Closed,8
2024-03-03,12:22:43,Larceny,41.9503,-87.6346,2563 Cedar St,Central,Reported larceny incident at 2563 Cedar St.,Closed,30
2024-03-03,17:18:47,Traffic Violation,41.9025,-87.7051,2961 Cedar St,Uptown,Reported traffic violation incident at 2961 Cedar St.,Under Investigation,7
2024-03-03,22:02:13,Violent Disorder,41.9551,-87.6528,5232 Park Ln,Central,Reported violent disorder incident at 5232 Park Ln.,Active,44
2024-03-04,04:43:57,Larceny,41.9687,-87.5473,510 Maple Dr,Uptown,Reported larceny incident at 510 Maple Dr.,Under Investigation,10
2024-03-04,13:51:03,Robbery,41.9512,-87.5353,7106 Park Ln,West,Reported robbery incident at 7106 Park Ln.,Closed,57
2024-03-04,14:25:30,Vandalism,41.9012,-87.6307,6564 Maple Dr,Downtown,Reported vandalism incident at 6564 Maple Dr.,Closed,35
2024-03-05,06:13:54,Robbery,41.9695,-87.6117,4928 Broadway,North,Reported robbery incident at 4928 Broadway.,Active,26
2024-03-05,08:14:41,Public Intoxication,41.9046,-87.5354,4696 Broadway,South,Reported public intoxication incident at 4696 Broadway.,Cleared by Arrest,53
2024-03-05,10:01:28,Robbery,41.8044,-87.6416,6298 Park Ln,Suburban,Reported robbery incident at 6298 Park Ln.,Closed,32
2024-03-05,11:04:32,Vandalism,41.9289,-87.5567,1979 Maple Dr,South,Reported vandalism incident at 1979 Maple Dr.,Active,13
2024-03-05,11:25:36,Violent Disorder,41.9139,-87.6625,225 Main St,Suburban,Reported violent disorder incident at 225 Main St.,Under Investigation,46
2024-03-05,23:02:25,Robbery,41.8049,-87.6823,6221 Cedar St,North,Reported robbery incident at 6221 Cedar St.,Cleared by Arrest,43
2024-03-06,09:09:01,Robbery,41.9399,-87.6886,6320 Park Ln,Central,Reported robbery incident at 6320 Park Ln.,Closed,53
2024-03-06,14:23:12,Larceny,41.9342,-87.5468,8447 Main St,Central,Reported larceny incident at 8447 Main St.,Cleared by Arrest,24
2024-03-06,15:32:15,Burglary,41.8798,-87.699,7188 Broadway,North,Reported burglary incident at 7188 Broadway.,Active,60
2024-03-06,15:52:37,Vandalism,41.9322,-87.6441,4510 Main St,East,Reported vandalism incident at 4510 Main St.,Cleared by Arrest,50
2024-03-06,18:05:14,Homicide,41.9074,-87.6899,3051 Cedar St,West,Reported homicide incident at 3051 Cedar St.,Cleared by Arrest,17
2024-03-06,19:05:08,Larceny,41.8777,-87.5896,5198 Broadway,East,Reported larceny incident at 5198 Broadway.,Active,57
2024-03-06,19:36:25,Vandalism,41.9149,-87.6224,8219 Elm St,North,Reported vandalism incident at 8219 Elm St.,Cleared by Arrest,10
2024-03-07,01:02:46,Fraud,41.8356,-87.64,3460 Cedar St,East,Reported fraud incident at 3460 Cedar St.,Cleared by Arrest,54
2024-03-07,02:28:11,Aggravated Assault,41.9526,-87.7154,8241 Cedar St,East,Reported aggravated assault incident at 8241 Cedar St.,Cleared by Arrest,55
2024-03-07,02:30:31,Motor Vehicle Theft,41.8255,-87.725,9418 Maple Dr,Central,Reported motor vehicle theft incident at 9418 Maple Dr.,Cleared by Arrest,6
2024-03-07,05:11:06,Fraud,41.8361,-87.6978,8573 Cedar St,Central,Reported fraud incident at 8573 Cedar St.,Under Investigation,32
2024-03-07,07:16:38,Property Theft,41.8034,-87.606,301 Main St,Downtown,Reported property theft incident at 301 Main St.,Under Investigation,12
2024-03-07,08:17:49,Robbery,41.9086,-87.5674,1065 Cedar St,Suburban,Reported robbery incident at 1065 Cedar St.,Active,47
2024-03-07,17:58:01,Larceny,41.8079,-87.6529,7402 Cedar St,East,Reported larceny incident at 7402 Cedar St.,Active,52
2024-03-07,19:56:41,Narcotics Distribution,41.9634,-87.5558,947 Washington Blvd,East,Reported narcotics distribution incident at 947 Washington Blvd.,Under Investigation,9
2024-03-07,23:49:07,Drug Possession,41.8147,-87.5316,5802 Park Ln,Central,Reported drug possession incident at 5802 Park Ln.,Cleared by Arrest,8
2024-03-08,02:31:51,Aggravated Assault,41.9242,-87.6009,3777 Cedar St,Suburban,Reported aggravated assault incident at 3777 Cedar St.,Active,49
2024-03-08,03:09:04,Larceny,41.7931,-87.6722,423 Broadway,South,Reported larceny incident at 423 Broadway.,Under Investigation,36
2024-03-08,04:47:02,Drug Trafficking,41.8412,-87.5441,8859 Broadway,East,Reported drug trafficking incident at 8859 Broadway.,Active,20
2024-03-08,07:01:10,Violent Disorder,41.8683,-87.6648,7299 Broadway,Uptown,Reported violent disorder incident at 7299 Broadway.,Active,33
2024-03-08,15:49:49,Homicide,41.9116,-87.5489,2917 Oak Ave,South,Reported homicide incident at 2917 Oak Ave.,Cleared by Arrest,33
2024-03-08,18:59:31,Aggravated Assault,41.887,-87.6183,1474 Cedar St,Downtown,Reported aggravated assault incident at 1474 Cedar St.,Active,23
2024-03-08,19:30:36,Violent Disorder,41.8604,-87.603,4546 Elm St,South,Reported violent disorder incident at 4546 Elm St.,Cleared by Arrest,8
2024-03-08,19:52:00,Property Theft,41.9062,-87.7223,913 Main St,Suburban,Reported property theft incident at 913 Main St.,Closed,38
2024-03-09,03:37:25,Motor Vehicle Theft,41.7821,-87.5702,8157 Cedar St,Central,Reported motor vehicle theft incident at 8157 Cedar St.,Closed,55
2024-03-09,05:40:24,Vandalism,41.8401,-87.6442,9390 Cedar St,North,Reported vandalism incident at 9390 Cedar St.,Cleared by Arrest,45
2024-03-09,05:44:22,Violent Disorder,41.9099,-87.6417,4230 Main St,South,Reported violent disorder incident at 4230 Main St.,Cleared by Arrest,26
2024-03-09,11:01:23,Homicide,41.8304,-87.6958,7402 Park Ln,South,Reported homicide incident at 7402 Park Ln.,Closed,55
2024-03-09,16:37:41,Drug Trafficking,41.8408,-87.695,927 Main St,South,Reported drug trafficking incident at 927 Main St.,Cleared by Arrest,18
2024-03-09,20:09:27,Traffic Violation,41.7806,-87.7026,857 Cedar St,Uptown,Reported traffic violation incident at 857 Cedar St.,Closed,40
2024-03-10,06:55:21,Vandalism,41.848,-87.5829,6747 Main St,North,Reported vandalism incident at 6747 Main St.,Cleared by Arrest,30
2024-03-10,08:02:24,Aggravated Assault,41.9675,-87.6842,9534 Washington Blvd,Uptown,Reported aggravated assault incident at 9534 Washington Blvd.,Under Investigation,12
2024-03-10,10:14:31,Violent Disorder,41.7842,-87.6411,3583 Park Ln,East,Reported violent disorder incident at 3583 Park Ln.,Closed,40
2024-03-10,13:12:09,Narcotics Distribution,41.9416,-87.6833,6040 Elm St,Suburban,Reported narcotics distribution incident at 6040 Elm St.,Active,14
2024-03-10,15:59:18,Burglary,41.8852,-87.6848,6459 Park Ln,Suburban,Reported burglary incident at 6459 Park Ln.,Under Investigation,51
2024-03-10,19:03:38,Arson,41.8784,-87.6138,8340 Park Ln,West,Reported arson incident at 8340 Park Ln.,Active,12
2024-03-10,19:55:39,Property Theft,41.7921,-87.6709,1332 Oak Ave,Central,Reported property theft incident at 1332 Oak Ave.,Closed,31
2024-03-10,21:11:12,Fraud,41.9056,-87.6209,6778 Park Ln,Central,Reported fraud incident at 6778 Park Ln.,Closed,43
2024-03-10,23:47:42,Arson,41.9325,-87.6878,2063 Cedar St,Suburban,Reported arson incident at 2063 Cedar St.,Active,54
2024-03-11,03:38:05,Arson,41.8963,-87.6621,8100 Washington Blvd,East,Reported arson incident at 8100 Washington Blvd.,Closed,59
2024-03-11,04:19:56,Larceny,41.7805,-87.6635,231 Oak Ave,East,Reported larceny incident at 231 Oak Ave.,Closed,59
2024-03-11,10:15:17,Arson,41.7925,-87.5587,8818 Elm St,Uptown,Reported arson incident at 8818 Elm St.,Cleared by Arrest,17
2024-03-11,23:42:16,Loitering,41.7786,-87.6267,3535 Maple Dr,West,Reported loitering incident at 3535 Maple Dr.,Active,33
2024-03-12,01:16:23,Burglary,41.802,-87.7235,9322 Park Ln,Suburban,Reported burglary incident at 9322 Park Ln.,Under Investigation,21
2024-03-12,15:16:20,Narcotics Distribution,41.8176,-87.6364,3871 Maple Dr,Suburban,Reported narcotics distribution incident at 3871 Maple Dr.,Closed,11
2024-03-12,19:52:45,Loitering,41.9439,-87.5358,799 Park Ln,Downtown,Reported loitering incident at 799 Park Ln.,Cleared by Arrest,18
2024-03-13,08:05:50,Drug Possession,41.8104,-87.7172,9236 Maple Dr,West,Reported drug possession incident at 9236 Maple Dr.,Under Investigation,41
2024-03-13,09:38:59,Arson,41.8594,-87.7069,8974 Cedar St,West,Reported arson incident at 8974 Cedar St.,Under Investigation,27
2024-03-13,14:35:03,Motor Vehicle Theft,41.8517,-87.6355,2242 Broadway,Downtown,Reported motor vehicle theft incident at 2242 Broadway.,Under Investigation,9
2024-03-13,17:04:23,Fraud,41.8478,-87.6853,2306 Maple Dr,West,Reported fraud incident at 2306 Maple Dr.,Cleared by Arrest,51
2024-03-13,21:06:25,Burglary,41.8786,-87.694,3792 Main St,Downtown,Reported burglary incident at 3792 Main St.,Cleared by Arrest,41
2024-03-14,02:36:55,Fraud,41.8089,-87.6161,9582 Maple Dr,Central,Reported fraud incident at 9582 Maple Dr.,Cleared by Arrest,23
2024-03-14,17:17:37,Larceny,41.9717,-87.6581,2676 Main St,Central,Reported larceny incident at 2676 Main St.,Under Investigation,41
2024-03-14,18:05:02,Homicide,41.903,-87.5541,2737 Park Ln,Uptown,Reported homicide incident at 2737 Park Ln.,Active,54
2024-03-14,21:05:02,Arson,41.8199,-87.5517,7903 Oak Ave,Uptown,Reported arson incident at 7903 Oak Ave.,Under Investigation,15
2024-03-14,22:53:14,Violent Disorder,41.8248,-87.6718,8758 Broadway,Uptown,Reported violent disorder incident at 8758 Broadway.,Active,10
2024-03-15,10:30:17,Disorderly Conduct,41.7959,-87.5779,5843 Elm St,East,Reported disorderly conduct incident at 5843 Elm St.,Cleared by Arrest,38
2024-03-15,11:08:08,Violent Disorder,41.7826,-87.6045,1089 Elm St,East,Reported violent disorder incident at 1089 Elm St.,Under Investigation,59
2024-03-15,18:21:27,Violent Disorder,41.7904,-87.585,498 Oak Ave,West,Reported violent disorder incident at 498 Oak Ave.,Closed,27
2024-03-15,19:47:27,Vandalism,41.8721,-87.6722,3077 Main St,Suburban,Reported vandalism incident at 3077 Main St.,Under Investigation,22
2024-03-16,02:55:57,Public Intoxication,41.8496,-87.5892,4283 Elm St,Central,Reported public intoxication incident at 4283 Elm St.,Under Investigation,50
2024-03-16,03:07:31,Property Theft,41.7782,-87.6303,1567 Broadway,Downtown,Reported property theft incident at 1567 Broadway.,Closed,27
2024-03-16,03:29:55,Loitering,41.9627,-87.6586,1948 Broadway,Downtown,Reported loitering incident at 1948 Broadway.,Under Investigation,56
2024-03-16,06:39:34,Burglary,41.9061,-87.6283,808 Washington Blvd,Uptown,Reported burglary incident at 808 Washington Blvd.,Active,11
2024-03-16,08:54:58,Property Theft,41.8602,-87.5307,1311 Park Ln,Uptown,Reported property theft incident at 1311 Park Ln.,Under Investigation,8
2024-03-16,09:07:52,Violent Disorder,41.8304,-87.6316,5628 Broadway,West,Reported violent disorder incident at 5628 Broadway.,Cleared by Arrest,51
2024-03-16,11:30:36,Public Intoxication,41.7821,-87.652,2029 Cedar St,Suburban,Reported public intoxication incident at 2029 Cedar St.,Closed,39
2024-03-16,15:51:46,Arson,41.8896,-87.6615,4798 Elm St,West,Reported arson incident at 4798 Elm St.,Under Investigation,33
2024-03-16,20:22:35,Violent Disorder,41.8109,-87.6681,1717 Washington Blvd,Downtown,Reported violent disorder incident at 1717 Washington Blvd.,Under Investigation,30
2024-03-16,22:03:16,Robbery,41.7816,-87.6308,6103 Oak Ave,Downtown,Reported robbery incident at 6103 Oak Ave.,Active,37
2024-03-16,22:59:58,Motor Vehicle Theft,41.8539,-87.6381,8565 Park Ln,East,Reported motor vehicle theft incident at 8565 Park Ln.,Closed,51
2024-03-17,00:30:16,Drug Trafficking,41.8464,-87.6946,2860 Oak Ave,Central,Reported drug trafficking incident at 2860 Oak Ave.,Closed,55
2024-03-17,02:48:40,Narcotics Distribution,41.8303,-87.6108,3481 Cedar St,Uptown,Reported narcotics distribution incident at 3481 Cedar St.,Closed,48
2024-03-17,04:03:12,Burglary,41.8402,-87.5455,579 Maple Dr,Downtown,Reported burglary incident at 579 Maple Dr.,Under Investigation,36
2024-03-17,09:47:22,Disorderly Conduct,41.9401,-87.643,2009 Broadway,West,Reported disorderly conduct incident at 2009 Broadway.,Closed,22
2024-03-17,14:25:43,Simple Assault,41.9117,-87.6839,8608 Oak Ave,West,Reported simple assault incident at 8608 Oak Ave.,Under Investigation,49
2024-03-17,16:49:36,Vandalism,41.807,-87.6177,2723 Elm St,North,Reported vandalism incident at 2723 Elm St.,Cleared by Arrest,36
2024-03-17,17:43:19,Burglary,41.8928,-87.5501,6343 Main St,North,Reported burglary incident at 6343 Main St.,Active,36
2024-03-18,00:10:09,Burglary,41.8818,-87.7013,2491 Main St,South,Reported burglary incident at 2491 Main St.,Cleared by Arrest,47
2024-03-18,00:23:30,Violent Disorder,41.7985,-87.5323,347 Maple Dr,Suburban,Reported violent disorder incident at 347 Maple Dr.,Cleared by Arrest,48
2024-03-18,02:40:32,Drug Trafficking,41.8743,-87.6094,4757 Elm St,South,Reported drug trafficking incident at 4757 Elm St.,Active,60
2024-03-18,05:19:12,Motor Vehicle Theft,41.8105,-87.6385,8981 Maple Dr,Suburban,Reported motor vehicle theft incident at 8981 Maple Dr.,Cleared by Arrest,60
2024-03-18,07:24:45,Property Theft,41.8236,-87.6583,7625 Elm St,East,Reported property theft incident at 7625 Elm St.,Active,37
2024-03-18,07:57:34,Robbery,41.8609,-87.6779,8494 Broadway,North,Reported robbery incident at 8494 Broadway.,Under Investigation,30
2024-03-18,11:55:25,Arson,41.8367,-87.5411,371 Park Ln,Suburban,Reported arson incident at 371 Park Ln.,Closed,40
2024-03-18,13:55:54,Burglary,41.9448,-87.7169,7348 Main St,Central,Reported burglary incident at 7348 Main St.,Cleared by Arrest,43
2024-03-18,22:23:49,Vandalism,41.9154,-87.5335,7080 Washington Blvd,Suburban,Reported vandalism incident at 7080 Washington Blvd.,Active,11
2024-03-19,04:50:28,Homicide,41.7903,-87.6019,7335 Main St,Central,Reported homicide incident at 7335 Main St.,Active,52
2024-03-19,06:02:27,Robbery,41.9182,-87.6605,6325 Cedar St,South,Reported robbery incident at 6325 Cedar St.,Closed,34
2024-03-19,13:00:59,Fraud,41.9186,-87.6824,7731 Main St,Downtown,Reported fraud incident at 7731 Main St.,Active,56
2024-03-19,13:22:43,Motor Vehicle Theft,41.9412,-87.6212,8750 Elm St,East,Reported motor vehicle theft incident at 8750 Elm St.,Under Investigation,12
2024-03-19,18:09:04,Narcotics Distribution,41.8894,-87.5523,8370 Maple Dr,West,Reported narcotics distribution incident at 8370 Maple Dr.,Closed,50
2024-03-19,20:46:51,Arson,41.8663,-87.6048,1198 Park Ln,South,Reported arson incident at 1198 Park Ln.,Cleared by Arrest,10
2024-03-19,21:11:31,Homicide,41.7866,-87.6856,4767 Park Ln,East,Reported homicide incident at 4767 Park Ln.,Under Investigation,55
2024-03-20,01:40:02,Vandalism,41.9061,-87.5901,5821 Cedar St,North,Reported vandalism incident at 5821 Cedar St.,Cleared by Arrest,36
2024-03-20,07:12:05,Fraud,41.8893,-87.5431,4700 Oak Ave,North,Reported fraud incident at 4700 Oak Ave.,Closed,31
2024-03-20,15:47:56,Drug Trafficking,41.9429,-87.6246,5743 Maple Dr,Uptown,Reported drug trafficking incident at 5743 Maple Dr.,Cleared by Arrest,29
2024-03-20,21:38:08,Burglary,41.9765,-87.6992,1733 Cedar St,West,Reported burglary incident at 1733 Cedar St.,Active,17
2024-03-20,22:01:38,Narcotics Distribution,41.86,-87.6207,4355 Broadway,Central,Reported narcotics distribution incident at 4355 Broadway.,Under Investigation,9
2024-03-20,22:32:49,Larceny,41.9291,-87.6013,7175 Cedar St,Central,Reported larceny incident at 7175 Cedar St.,Cleared by Arrest,36
2024-03-21,03:43:42,Simple Assault,41.8867,-87.5763,3092 Oak Ave,Central,Reported simple assault incident at 3092 Oak Ave.,Active,49
2024-03-21,04:24:51,Robbery,41.8586,-87.5899,1257 Oak Ave,South,Reported robbery incident at 1257 Oak Ave.,Active,55
2024-03-21,09:41:50,Motor Vehicle Theft,41.9131,-87.6807,6942 Oak Ave,West,Reported motor vehicle theft incident at 6942 Oak Ave.,Cleared by Arrest,26
2024-03-21,11:40:34,Property Theft,41.843,-87.7244,7092 Broadway,North,Reported property theft incident at 7092 Broadway.,Cleared by Arrest,6
2024-03-21,12:02:32,Arson,41.7878,-87.5318,7706 Oak Ave,West,Reported arson incident at 7706 Oak Ave.,Under Investigation,25
2024-03-21,21:02:25,Loitering,41.9128,-87.6809,5608 Oak Ave,East,Reported loitering incident at 5608 Oak Ave.,Closed,27
2024-03-21,21:41:58,Vandalism,41.9453,-87.5431,3407 Cedar St,Central,Reported vandalism incident at 3407 Cedar St.,Under Investigation,41
2024-03-22,00:39:35,Property Theft,41.8205,-87.5602,6029 Washington Blvd,Uptown,Reported property theft incident at 6029 Washington Blvd.,Under Investigation,9
2024-03-22,07:12:16,Burglary,41.8984,-87.7282,9863 Main St,East,Reported burglary incident at 9863 Main St.,Active,50
2024-03-22,09:27:19,Drug Possession,41.9159,-87.5881,6183 Cedar St,North,Reported drug possession incident at 6183 Cedar St.,Under Investigation,13
2024-03-22,11:40:02,Simple Assault,41.8484,-87.6414,5289 Broadway,Central,Reported simple assault incident at 5289 Broadway.,Closed,56
2024-03-22,15:45:07,Motor Vehicle Theft,41.8073,-87.533,8080 Elm St,Central,Reported motor vehicle theft incident at 8080 Elm St.,Closed,6
2024-03-22,16:58:03,Simple Assault,41.97,-87.6192,1119 Main St,West,Reported simple assault incident at 1119 Main St.,Under Investigation,14
2024-03-23,06:16:18,Loitering,41.9064,-87.661,9269 Oak Ave,Uptown,Reported loitering incident at 9269 Oak Ave.,Closed,10
2024-03-23,08:13:45,Motor Vehicle Theft,41.8746,-87.6522,709 Washington Blvd,Downtown,Reported motor vehicle theft incident at 709 Washington Blvd.,Active,41
2024-03-23,10:31:08,Drug Trafficking,41.823,-87.6466,1306 Main St,East,Reported drug trafficking incident at 1306 Main St.,Active,29
2024-03-23,13:54:32,Drug Possession,41.794,-87.7064,1970 Broadway,South,Reported drug possession incident at 1970 Broadway.,Cleared by Arrest,38
2024-03-23,14:59:54,Motor Vehicle Theft,41.8013,-87.6715,7014 Cedar St,East,Reported motor vehicle theft incident at 7014 Cedar St.,Active,28
2024-03-23,18:06:05,Narcotics Distribution,41.8491,-87.6942,6151 Broadway,Suburban,Reported narcotics distribution incident at 6151 Broadway.,Cleared by Arrest,5
2024-03-23,19:39:32,Drug Trafficking,41.8479,-87.7112,7042 Main St,Suburban,Reported drug trafficking incident at 7042 Main St.,Closed,30
2024-03-23,20:59:46,Traffic Violation,41.9651,-87.6755,6968 Oak Ave,Uptown,Reported traffic violation incident at 6968 Oak Ave.,Active,42
2024-03-23,21:48:26,Public Intoxication,41.8082,-87.6301,4598 Park Ln,East,Reported public intoxication incident at 4598 Park Ln.,Cleared by Arrest,26
2024-03-24,04:22:28,Simple Assault,41.9442,-87.6766,8786 Broadway,Suburban,Reported simple assault incident at 8786 Broadway.,Active,33
2024-03-24,07:53:56,Motor Vehicle Theft,41.8992,-87.6465,1566 Broadway,Downtown,Reported motor vehicle theft incident at 1566 Broadway.,Closed,47
2024-03-24,09:05:58,Fraud,41.8806,-87.6665,2505 Maple Dr,West,Reported fraud incident at 2505 Maple Dr.,Under Investigation,25
2024-03-24,11:57:38,Narcotics Distribution,41.9455,-87.7264,7151 Main St,East,Reported narcotics distribution incident at 7151 Main St.,Active,46
2024-03-24,14:29:39,Drug Trafficking,41.9203,-87.695,9793 Cedar St,Uptown,Reported drug trafficking incident at 9793 Cedar St.,Active,30
